SMILES,exp (nM),exp_method
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1ccccn1,0.0882,IC50
Clc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)cc1,0.0982,IC50
Cc1cccc2c1nc(CCC(=O)Nc1ccc(cc1)C(=O)Nc1cccc3cccnc13)[nH]c2=O,0.100,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1ncc(o1)-c1ccccc1,0.16,IC50
COc1ccc(cn1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2cc(F)cc2c(=O)[nH]1,0.160,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2cc(F)cc2c(=O)[nH]1,0.170,IC50
Clc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,0.179,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2c(C)ccc2c(=O)[nH]1,0.180,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2cnn(C)c2c1)c1ccc(cc1)C(O)=O,0.190,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2ccccc2c(=O)[nH]1,0.190,IC50
COc1ccc(cc1C)C(=O)C1CCN(CC1)C(=O)CCCc1nc2c(C)scc2c(=O)[nH]1,0.190,IC50
COc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.191,IC50
FC(F)(F)c1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.193,IC50
Fc1ccc(cc1Cl)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.196,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,0.200,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ccc(cc1)C(=O)Nc1cccc2cccnc12,0.200000,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2cccc(C#N)c2[nH]c1=O,0.206,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1cc2ccccc2c(=O)[nH]1,0.210,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,0.220,IC50
Clc1ccc2n([C@H]3CC[C@@H](CC3)NC(=O)CCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.227,IC50
Fc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.237,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1cc2ccccc2c(=O)[nH]1,0.240,IC50
CC(C)(CC(=O)N1CCC(CC1)C(=O)c1ccc(cc1)C(O)=O)Cc1cc2ccccc2c(=O)[nH]1,0.250,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2c(nn(C)c2c1)C(O)=O)c1ccc(OC)cc1,0.250,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2cc(C(O)=O)n(C)c2c1)c1ccc(OC)cc1,0.260,IC50
Clc1cccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)c1,0.264,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2ncn(C)c2c1)c1ccc(cc1)C(O)=O,0.270,IC50
Clc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.27,IC50
CC(C)n1cc(cn1)C(=O)C1CCN(CC1)C(=O)CCCc1nc2n(C)ccc2c(=O)[nH]1,0.280,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2n(C)ncc2c1)c1ccc(cc1)C(O)=O,0.290,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2ccc(cc2[nH]c1=O)C#N,0.292,IC50
Clc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)cc1C#N,0.294,IC50
O=c1[nH]c(SCCN2CCN(CCSc3nc4ccccc4c(=O)[nH]3)CC2)nc2ccccc12,0.300000,IC50
COc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.301,IC50
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1cccc(c1)C#N,0.302,IC50
Fc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.303,IC50
COC(=O)c1ccc(cc1C)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2ccccc2c(=O)[nH]1,0.320,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ccc2c(=O)[nH]1,0.330,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccncc1,0.341,IC50
Clc1ccc2[nH]c(=O)n([C@H]3CC[C@@H](CC3)NC(=O)CCc3nc4ccccc4c(=O)[nH]3)c2c1,0.347,IC50
CCn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ccc2c(=O)[nH]1,0.360,IC50
Fc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)cc1,0.362,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2ccccc2c(=O)[nH]1,0.370,IC50
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1C[C@H](C1)c1nnc(o1)-c1ccccc1,0.389,IC50
CC(C)C[C@@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2ccccc2c(=O)[nH]1,0.400,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCN(CC1)c1n[nH]c2ccccc12,0.401,IC50
COc1ccc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ccc2c(=O)[nH]1,0.410,IC50
COc1ccc2C(=O)C3(Cc2c1)CCN(CC3)C1CCN(Cc2nc3CCOCc3c(=O)[nH]2)C1=O,18.0,IC50
Cc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,18,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2nc3ccccc3s2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,18,IC50
FC(F)CN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(Cl)cc1,18,IC50
CC(C)CN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,18,IC50
COc1ccc(cc1OC)C(=O)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,18,IC50
COc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,18.1,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)c1nnc(s1)-c1ccccc1,18.5,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,19,IC50
O=c1[nH]c(nc2CCCCc12)N1CCC2(CNc3cccc(C#N)c23)CC1,19,IC50
CN1C(=O)C2(CCN(CC2)c2nc3N(C)CCCc3c(=O)[nH]2)c2c1cc(OCCN1CCN(C)CC1)cc2F,19,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2cc3ccccc(=O)c3[nH]2)C1=O,19.0,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccc(cc2[nH]c1=O)C#N,19,IC50
FCCN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,19,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc3ccccc(=O)c3[nH]2)C1=O,19,IC50
COc1cc(OC)nc(CC(C)(C#N)c2ccc3c4CCCCc4c(=O)[nH]c3c2)n1,19.1,IC50
CC(Cc1cccc(F)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,19.5,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ncc(F)cc2F)CC1,19.6,IC50
Cc1cccc2n(Cc3cccc(Cl)c3C#N)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,20,IC50
C[C@H]1CN(C[C@@H](C)N1)c1cc2N(C)C(=O)C3(CCN(CC3)c3nc4N(C)CCCc4c(=O)[nH]3)c2c(F)c1,20,IC50
COCCOC(C)(C)c1ccc(cc1)-c1nc2ccc(F)cc2c(=O)[nH]1,20,IC50
OC(=O)[C@H]1CC[C@H](Cn2c(=O)n(Cc3cccc(c3C#N)C(F)(F)F)c3ccccc3c2=O)CC1,20,IC50
Cc1c(F)ccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(O)=O)c(=O)c12,20,IC50
CC(C)N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,20,IC50
O=C(CN1CCC(CC1)C(=O)c1ccc2OCCc2c1)NCc1nc2CCOCc2c(=O)[nH]1,20,IC50
C(CN1CCOCC1)NCc1ccc(cc1)-c1ccc2C=CCNc2c1,20,IC50
CC(C)(C)CN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,20,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc(C)c(C)c(=O)[nH]2)CC1,20,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)[C@H]1CC[C@@H](CC1)NC(=O)c1cccc2cccnc12,20.1,IC50
Fc1ccccc1-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,20.9,IC50
Cc1cccc(n1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccc(F)cn2)n1-c1ccccc1F,21,IC50
O=C1OC2(CCN(CC2)c2nc3CCCCc3c(=O)[nH]2)c2ccccc12,21,IC50
OCCN1C(=O)C2(CCN(CC2)c2nc3CCCCc3c(=O)[nH]2)c2c1cc(F)cc2F,21,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCC2(CN(CCO)c3cc(F)cc(F)c23)CC1,21,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2cccc(F)c2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,21,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(CC(=O)Nc2nnc3SCCn23)C1=O,21.0,IC50
CC(C)(O)c1ccc(cc1)-c1nc2cccc(F)c2c(=O)[nH]1,21,IC50
O=c1[nH]c(nc2CCCCc12)N1CCC2(CNc3ccccc23)CC1,21,IC50
CN1C(=O)C2(CCN(CC2)c2nc3N(C)CCCc3c(=O)[nH]2)c2c1cc(OC1CCN(C)CC1)cc2F,21,IC50
Fc1ccccc1-n1c(nnc1-c1ccccn1)[C@H]1C[C@@H](C1)NC(=O)c1ccccn1,22,IC50
CCC(N1CCN(CC1)c1nc2N(C)CCCc2c(=O)[nH]1)c1ncccn1,22.0,IC50
O=C(NCCc1nc2ccccc2c(=O)[nH]1)[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,22.5,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ncccc2C)CC1,22.7,IC50
CN1C(=O)C2(CCN(CC2)c2nc3N(C)CCCc3c(=O)[nH]2)c2c1cc(cc2F)N1CCNCC1,23,IC50
Clc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc3CCOCc3c(=O)[nH]2)C1=O,23.0,IC50
COc1cccc(CN(Cc2nc3CCOCc3c(=O)[nH]2)C(=O)CN2CCC(CC2)C(=O)c2ccc(F)cc2)c1,23,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,23,IC50
O=c1[nH]c2sccc2c2ccccc12,24,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ccccc2F)CC1,24.5,IC50
Cc1cccc2n(Cc3ccccc3C#N)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,25,IC50
Cc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccnnc3)c(=O)c12,25,IC50
Cc1cccc(Cn2c3cccc(C)c3c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c2=O)c1C#N,25,IC50
O=C1Nc2ccccc2C11CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,25,IC50
CS(=O)(=O)c1ccc(nc1)-c1nnc(\C=C\c2nnc(o2)-c2ccc(cc2)C#N)n1-c1ccccc1Cl,25,IC50
C[C@@H](N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1)c1ccc(F)cc1,25,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc3n(C)ncc3c(=O)[nH]2)C1=O,25.0,IC50
Oc1cccc2c(O)nc(nc12)-c1ccc(cc1)C(F)(F)F,25,IC50
C1OCN(C1c1ccccc1)c1ccc(cc1)-c1cncc(c1)-c1ncccn1,25,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)c1ccc(cc1)-c1cnc(N)c(c1)-c1ncccn1,25.9,IC50
OCCN1C(=O)C2(CCN(CC2)c2nc3CCCCc3c(=O)[nH]2)c2ccccc12,26,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc(C)c(C)c(=O)[nH]2)C1=O,26,IC50
COc1cccnc1CN1CCN(CC1)c1nc2N(C)CCCc2c(=O)[nH]1,26.6,IC50
O=C1Nc2cccc(C#N)c2C11CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,27,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2cc3CCOCc3c(=O)[nH]2)CC1,27,IC50
OCCN1CC2(CCN(CC2)c2nc3CCCCc3c(=O)[nH]2)c2ccccc12,27,IC50
CN1CCc2c1nc([nH]c2=O)N1CCC2(CC1)C(=O)N(CCO)c1cc(F)cc(F)c21,28,IC50
FC1(F)C(=O)N(C2CCN(CC2)C(=O)CCCc2nc3ccccc3c(=O)[nH]2)c2ccccc12,28.9,IC50
Fc1ccccc1-n1c(nnc1-c1nccs1)[C@H]1C[C@@H](C1)NC(=O)c1ccccn1,29,IC50
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)Nc1cccc2cccnc12,29,IC50
O=c1[nH]c(nc2CCCCc12)N1CCC2(CC1)NCc1ccccc21,29,IC50
CC(C)C1Cc2[nH]c3cc(F)cc4c3c2c(C1)n[nH]c4=O,29,IC50
CC(C)(C)c1ccc(cc1)-c1nc2c3ccccc3sc2c(=O)[nH]1,29,IC50
O=C(CN1CCC(CC1)C(=O)c1ccc(OC2CCOCC2)cc1)NCc1nc2CCOCc2c(=O)[nH]1,29,IC50
O=C(CCCSc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)c1nnc(o1)-c1ccccc1,29.5,IC50
Fc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccc(cc2[nH]c1=O)C#N,30,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCC2(CC1)C(=O)N(CC(O)=O)c1cc(F)cc(F)c21,30,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(cc1)[N+]([O-])=O,30,IC50
CC(C)(O)c1ccc(cc1)-c1nc2c(F)cccc2c(=O)[nH]1,30,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ccccc2Cl)CC1,30.2,IC50
CN1CCC(CC1)c1ccc(cc1)-c1nc2c(F)cc(F)cc2c(=O)[nH]1,31,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2ccccn2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,31,IC50
O=C(Nc1cccc2cccnc12)c1ccc(cc1)N1C(=O)[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1=O,31,IC50
FC(F)(F)c1cccc(Cn2c3ccccc3c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c2=O)c1C#N,32,IC50
FC(F)(F)c1cccc(Cn2c3cccc(Cl)c3c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c2=O)c1C#N,32,IC50
C[C@H](C1CC1)N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,32,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCC2(CC1)C(=O)N(CC(F)(F)F)c1cc(F)cc(F)c21,32,IC50
O=C(CN1CCC(CC1)C(=O)c1ccccn1)N(CC1CC1)Cc1nc2CCOCc2c(=O)[nH]1,32,IC50
Fc1ccc(CN(Cc2nc3CCOCc3c(=O)[nH]2)C(=O)CN2CCC(CC2)C(=O)c2ccc(F)cc2)cc1,32,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1cccnc1,32.7,IC50
CN1C(=O)C2(CCN(CC2)c2nc3N(C)CCCc3c(=O)[nH]2)c2c1cc(OCCN1CCCCC1)cc2F,33,IC50
COc1ccc(cc1)-c1noc(CSc2nnc(C)n2-c2ccc(OC)cc2)n1,33,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(Cl)cc1,33,IC50
C[C@@](Cc1ccccc1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,33.1,IC50
C[C@@](Cc1cccc(F)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,33.9,IC50
Cn1c2cc(ccc2n([C@H]2C[C@@H](C2)c2nnc(-c3ccncn3)n2-c2ccccc2Cl)c1=O)C#N,34,IC50
O=C(CCSc1nccc(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,34.7,IC50
COc1cccc(CC(C)(C#N)c2ccc3c4CCCCc4c(=O)[nH]c3c2)c1,35.5,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ncccc2F)CC1,35.8,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2ncc(C)c(=O)[nH]2)C1=O,36,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc3CCCCc3c(=O)[nH]2)CC1,36,IC50
Cc1ccnc2c(NC(=O)c3ccc(cc3)-n3c(O)c4[C@H]5C[C@H](C=C5)c4c3O)cccc12,36,IC50
COc1cc2ncnc(N3CCC(CN4Cc5ccccc5NC4=O)CC3)c2cc1OC,36,IC50
COc1ccc(cc1)N1CCN(CC1)c1nc2CCC(F)(F)Cc2c(=O)[nH]1,36,IC50
O=c1[nH]c(nc2CCCCc12)N1CCC2(CC1)OCc1ccccc21,36,IC50
COc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)N(c1ccncn1)c1ccccc1Cl,37,IC50
CC(N1CCN(CC1)c1nc2N(C)CCCc2c(=O)[nH]1)c1ncccn1,37.1,IC50
C[C@](Cc1ccccc1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,37.2,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(C[C@H]2CCCO2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,38,IC50
FC(F)CN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1cccc(OC(F)(F)F)c1,38,IC50
Fc1cc(F)c2nc([nH]c(=O)c2c1)-c1ccc(cc1)C1CCNCC1,38,IC50
CC(Cc1cccc(CN)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,38.0,IC50
O=C(CN1CCC(CC1)n1c2ccccc2[nH]c1=O)NCc1nc2CCOCc2c(=O)[nH]1,39,IC50
C[C@H]1CN(C[C@@H](C)O1)c1cc2N(C)C(=O)C3(CCN(CC3)c3nc4N(C)CCCc4c(=O)[nH]3)c2c(F)c1,39,IC50
CC(C)(O)c1ccc(cc1)-c1nc2ccc(Cl)cc2c(=O)[nH]1,39,IC50
CC(N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1)c1ccc(F)cc1F,39.5,IC50
C[C@](Cc1cccc(F)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,39.8,IC50
Cc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3cnn(C)c3)c(=O)c12,40,IC50
O=C(Nc1ccncc1)[C@H]1CC[C@H](Cn2c(=O)n(Cc3ccccc3C#N)c3ccccc3c2=O)CC1,40,IC50
COc1cccc(c1)N1CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,40,IC50
Cc1ccc(NC(=O)[C@H]2CC[C@H](Cn3c(=O)n(Cc4cccc(c4C#N)C(F)(F)F)c4cccc(C)c4c3=O)CC2)cn1,40,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(F)cc1,40,IC50
CC(C)(O)c1ccc(cc1)-c1nc2c(F)ccc(F)c2c(=O)[nH]1,40,IC50
