SMILES,exp (nM),exp_method
CC(Cc1cccc(CO)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,40.7,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccccc1,41,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2cccnc2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,42,IC50
COc1ccc(cc1)-n1c(C)nnc1SCc1nc(no1)-c1ccc(OC)c(OC)c1,42,IC50
Cn1c(CC(C)(C#N)c2ccc3c4CCCCc4c(=O)[nH]c3c2)nc2ccccc12,42.7,IC50
Cn1nc(CC(C)(C#N)c2ccc3c4CCCCc4c(=O)[nH]c3c2)c2ccccc12,42.7,IC50
Fc1ccc2c(noc2c1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,43,IC50
O=c1[nH]nc2c3CCN(Cc4ccccc4)Cc3[nH]c3cccc1c23,43,IC50
CS(=O)(=O)c1ccc(nc1)-c1nnc(SCc2nnc(o2)-c2ccc(Cl)cc2)n1-c1ccccc1Cl,43,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(CN)cc1,43,IC50
O=C(CN1CCC(CC1)C(=O)c1ccc2OCOc2c1)NCc1nc2CCOCc2c(=O)[nH]1,43,IC50
COc1cccc2c1nc([nH]c2=O)-c1ccc(cc1)C(C)(C)O,43,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2nccc(n2)C(F)(F)F)CC1,43.4,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(CNC(=O)OCc2ccccc2)cc1,44,IC50
Cc1ccc(cc1)-c1nc2c(O)cccc2c(=O)[nH]1,44,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CCC(C)(C)c1nc2ccccc2c(=O)[nH]1,44.0,IC50
O=C(NCc1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1)OCc1ccccc1,45,IC50
COc1ccc(cc1)N1CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,46,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccc(cc2oc1=O)C#N,48,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)c1ccc(cc1)-c1cnc(N)c(c1)-c1ncc(F)cn1,48.3,IC50
Oc1cccc2c1nc([nH]c2=O)-c1ccc(Cl)cc1,49,IC50
CN1C(=O)C2(CCN(CC2)c2nc3N(C)CCCc3c(=O)[nH]2)c2c1cc(cc2F)N1CCCCC1,49,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)c1ccc(cc1)-c1cnc(N)c(c1)-c1ccc2nncn2n1,49.3,IC50
CC(C)(O)c1ccc(cc1)-c1nc2cccc(Cl)c2c(=O)[nH]1,50,IC50
COc1ccccc1C1=CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,50,IC50
Cc1c(F)ccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,50,IC50
Cc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,50,IC50
COc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,50,IC50
C[C@H](N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1)c1ccccc1,50,IC50
O=c1[nH]nc2[nH]c(CN3Cc4ccccc4C3)nc3cccc1c23,50,IC50
Clc1ccccc1-n1c(SCc2nnc(o2)-c2ccc(cc2)C#N)nnc1-c1ccncc1,51,IC50
COc1ccc(cc1)-c1nc(O)c2ccccc2n1,52,IC50
O=C(CCS(=O)c1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,52.3,IC50
Cn1c2cc(Cl)ccc2n(C2CCN(CC2)C(=O)CCCc2nc3ccccc3c(=O)[nH]2)c1=O,52.5,IC50
CC(Cc1cccc(Cl)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,52.5,IC50
CC(CCOc1ccc(cc1)C#N)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,52.5,IC50
CCc1cc(=O)[nH]c(CN2CCC(N3CCC(CC3)C(=O)c3ccc(OC)cc3)C2=O)n1,53,IC50
CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,53,IC50
COc1cc(ccn1)-c1nnc(\C=C\c2nnc(-c3ccc(cn3)S(C)(=O)=O)n2-c2ccccc2Cl)o1,54,IC50
Clc1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,54,IC50
O=C(Nc1cccc2cccnc12)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O,56,IC50
O=C(Nc1cccc2cccnc12)c1ccc(cc1)C1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O,56,IC50
CN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1,57,IC50
CC(Cc1cccc(OC(F)(F)F)c1)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,58.9,IC50
Oc1nc(nc2CCCCc12)N1CCN(CC1)c1ccccc1,59,IC50
Cc1cccc2c1c1COC(Cc1[nH]c2=O)C(C)(C)CO,<60,IC50
CC(C)(C)C1Cc2[nH]c(=O)c3ccccc3c2CO1,<60,IC50
CS(=O)(=O)N1CCC(C1)C1Cc2[nH]c(=O)c3ccccc3c2CO1,<60,IC50
O=C(C1COC1)N1CCC(CC1)C1Cc2[nH]c(=O)c3ccccc3c2CO1,<60,IC50
CC(C)(CO)C1Cc2[nH]c(=O)c3ccccc3c2CO1,<60,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCN(CC1)c1noc2ccccc12,60,IC50
CC(C)C1Cc2[nH]c(=O)c3cccc(C)c3c2CO1,<60,IC50
CC(C)C1Cc2[nH]c(=O)c3ccccc3c2CO1,<60,IC50
COc1cccc2c1nc([nH]c2=O)-c1ccc(Cl)cc1,62,IC50
Cc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(O)=O)c(=O)c12,63,IC50
Fc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12,63,IC50
CN(Cc1ccc(cc1)C#N)CC(C)(C#N)c1ccc2c3CCCCc3c(=O)[nH]c2c1,64.6,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)c1ccc(cc1)-c1cc(c[nH]c1=O)-c1ncccn1,65.9,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCC(F)(F)Cc2c(=O)[nH]1,66,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2ccc(s2)S(=O)(=O)N2CCOCC2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,66,IC50
COc1ccccc1C1CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,68,IC50
C[C@H](N(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)C(=O)c1ccc(F)cc1)c1ccc(F)cc1,68,IC50
CC(N1CCN(CC1)c1nc2N(C)CCCc2c(=O)[nH]1)c1ncc(F)cn1,69.4,IC50
O=c1[nH]c(nc2CCCCc12)N1CCN(Cc2ccncc2)CC1,71,IC50
Clc1ccc2n(C3CCN(CC3)C(=O)CCSc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,73.7,IC50
O=c1[nH]c(cc2ncccc12)C1=C[C@@H](CC1)N1CCN(CC1)c1ccc(cc1)C#N,74,IC50
CN1CCc2c1nc([nH]c2=O)N1CCC2(CN(CCO)c3cc(F)cc(F)c23)CC1,74,IC50
Fc1ccc(cc1)-c1nnc(o1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,78,IC50
Cc1ccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(O)=O)c(=O)c2c1C,79,IC50
Cc1ccc(cc1)-c1nc2c3ccccc3sc2c(=O)[nH]1,80,IC50
CC(C)C1Cc2[nH]c3cccc4c3c2c(C1)n[nH]c4=O,80,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2cccc(Cl)c2C#N)C1=O,81.0,IC50
Clc1ccccc1-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCc1nc2ccccc2c(=O)[nH]1,81.3,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ncc(C)cn2)CC1,81.5,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc3ccsc3c(=O)[nH]2)C1=O,83.0,IC50
COc1ccccc1C(=O)C1CCN(CC(=O)N(CC(F)F)Cc2nc3CCOCc3c(=O)[nH]2)CC1,85,IC50
CN1CCCc2c1nc([nH]c2=O)N1CCN(Cc2ncc(Cl)cn2)CC1,85.1,IC50
Fc1ccc(cc1)-c1nnc(o1)C1CCN(CC1)C(=O)CCSCc1nc2ccccc2c(=O)[nH]1,85.1,IC50
Oc1ccc(cc1)-c1nc(O)c2cccc(O)c2n1,86,IC50
COc1cccc2c1nc([nH]c2=O)-c1ccc(cc1)C(F)(F)F,87,IC50
COc1ccc(cc1)-c1nnc(o1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,89,IC50
Fc1ccccc1-n1c(nnc1-c1cnccn1)[C@H]1C[C@@H](C1)NC(=O)c1ccccn1,93,IC50
CC(C)C1Cc2[nH]c(=O)c3cccnc3c2CO1,93,IC50
O=C(CCc1nc2ncccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,99,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1cccc(c1)C#N,99.8,IC50
Cc1ccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c2c1C,100,IC50
Cc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@H](CC3)C(O)=O)c(=O)c12,100,IC50
Brc1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,101,IC50
Fc1cc2[nH]c3CCCc4n[nH]c(=O)c(c1)c2c34,102,IC50
O=C(CN1CCN(CCSc2nc3ccccc3c(=O)[nH]2)CC1)N1CCC2(CC1)CC(=O)c1ccccc1O2,103,IC50
COc1cccc2c1nc([nH]c2=O)-c1ccc(Br)cc1,106,IC50
Cn1ncnc1[C@H]1[C@@H](Nc2cc(F)cc3c2c1n[nH]c3=O)c1ccc(F)cc1,107,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc3CCCc3c(=O)[nH]2)CC1,110,IC50
Cc1ccccc1NC(=O)c1ccc(NC(=O)N2CCN(CC2)C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)cc1,111,IC50
COc1ccc(cc1C)C(=O)C1CCN(CC1)[C@@H]1CCN(Cc2nc3ccccc(=O)c3[nH]2)C1=O,112,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCOCc2c(=O)[nH]1,112,IC50
O=c1[nH]nc2c3CCNCc3[nH]c3cccc1c23,120,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1CC[C@@H](CC1)n1c2ccc(cc2[nH]c1=O)C#N,120,IC50
COc1cccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(O)=O)c(=O)c12,126,IC50
OC(=O)[C@H]1CC[C@H](Cn2c(=O)n(Cc3cccc(c3C#N)C(F)(F)F)c3cccc(Cl)c3c2=O)CC1,126,IC50
COc1ccc(cc1)-c1nc(O)c2cccc(OC)c2n1,128,IC50
Oc1ccc2c(c1)c1ccsc1[nH]c2=O,129,IC50
O=c1[nH]nc2CCCc3n(CCN4CCCCC4)c4cccc1c4c23,130,IC50
COc1ccc(cc1)-c1noc(CSc2nnc(C)n2-c2cccc(C)c2)n1,132,IC50
FC(F)(F)c1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,133,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2cc3CCOCc3c(=O)o2)CC1,133,IC50
CN1CCCc2c1cc([nH]c2=O)-c1ccc(Cl)cc1,134,IC50
Fc1ccccc1-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCc1nc2ccccc2c(=O)[nH]1,137,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc(C)cc(=O)[nH]2)C1=O,137,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](C1)OCc1ccccc1,138,IC50
COc1ccc2c(c1)c1ccsc1[nH]c2=O,138,IC50
O=c1[nH]nc2CCCc3[nH]c4cccc1c4c23,140,IC50
C[C@]12CCCN1Cc1n[nH]c(=O)c3cc(F)cc4[nH]c2c1c34,140,IC50
O=c1cc(oc2ccccc12)-c1ccccc1,140,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C1CCN(Cc2nc3sc(C)cc3c(=O)[nH]2)C1=O,141,IC50
COCCN(Cc1nc2CCOCc2c(=O)[nH]1)C(=O)CN1CCC(CC1)c1nnc(o1)-c1ccccc1,142,IC50
CC1Cc2[nH]c3cccc4c3c2c(C1)n[nH]c4=O,143,IC50
COc1ccc(cc1)N1CCN(CC1)c1nc2CCOCc2c(=O)[nH]1,148,IC50
O=c1[nH]nc2CCCc3n(CCN4CCCC4)c4cccc1c4c23,150,IC50
CC(C)(C)c1ccc(cc1)C1NC(=O)c2ccccc2N1,150,IC50
Clc1ccc(OCc2nnc(o2)C2CCN(CC2)C(=O)CCCc2nc3ccccc3c(=O)[nH]2)cc1,152,IC50
O=c1[nH]nc2CCCCc3[nH]c4cccc1c4c23,154,IC50
O=C(N1CCN(CC1)c1ncccc1C#N)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,160,IC50
O=c1[nH]nc2CC(Cc3[nH]c4cccc1c4c23)c1ccccc1,164,IC50
COc1cccc2c1nc([nH]c2=O)-c1ccc(C)cc1,167,IC50
Oc1ccc(cc1O)-c1cc(=O)c2ccccc2o1,170,IC50
O=C(CN1CCC(CC1)c1nnc(o1)-c1ccccc1)NCc1nc2CCOCc2c(=O)[nH]1,170,IC50
Fc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(CC3)C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)cc2)cc1,171,IC50
COc1ccc(cc1)-c1noc(CSc2nnc(-c3ccncc3)n2-c2ccc(OC)cc2)n1,175,IC50
O=c1[nH]c2ccccc2c2c3ccccc3sc12,180,IC50
Oc1cccc2c(O)nc(nc12)-c1ccccc1,180,IC50
CC1(C)OC(=O)N([C@@H]1c1ccccc1)[C@H]1CC[C@@H](CC1)NC(=O)c1cccc2cccnc12,185,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccn1,187,IC50
O=C(CN1CCC(CC1)n1cc(cn1)-c1ccccc1)NCc1nc2CCOCc2c(=O)[nH]1,188,IC50
CN1CCCc2c1cc([nH]c2=O)-c1ccccc1,189,IC50
Oc1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,189,IC50
CC1(C)OC(=O)N([C@H]1c1ccccc1)c1ccc(cc1)C(=O)Nc1cccc2cccnc12,189,IC50
Oc1cccc2c(O)nc(nc12)-c1ccc(cc1)[N+]([O-])=O,191,IC50
O=c1[nH]c(SCCN2CCN(CC2)c2ccccn2)nc2ccccc12,193,IC50
COc1ccc(cc1)-c1noc(CSc2nnc(C)n2-c2ccc(F)cc2)n1,197,IC50
NC(=O)c1cccc2C(=O)\C(Oc12)=C\c1ccc(cc1)C(=O)N1CCN(CC1)c1nc2ccccc2[nH]1,198,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)c1nnc(o1)-c1ccccc1,199,IC50
Cc1cc(NCCc2ccc(O)cc2)c2nncn2n1,200,IC50
C1CC2=C(CNC(=N2)c2ccccc2)CO1,200,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccccc2[nH]c1=O,200,IC50
CC1(C)Cc2[nH]c3cc(F)cc4c3c2c(C1)n[nH]c4=O,203,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1cnccn1,203,IC50
COc1ccc(cc1C)C(=O)C1CCN(CC1)[C@@H]1CCN(Cc2nc3CCOCc3c(=O)[nH]2)C1=O,206,IC50
Fc1ccc(cc1)C(=O)C1CCN(CC(=O)N(Cc2ccncc2)Cc2nc3CCOCc3c(=O)[nH]2)CC1,206,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@H]1CCCN(Cc2nc3CCOCc3c(=O)[nH]2)C1=O,218,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@H]1CCCN(CCC2NC(=O)C3=C(CCOC3)N2)C1=O,218,IC50
Nc1ccc(cc1)-c1nc(O)c2cccc(O)c2n1,219,IC50
Fc1ccccc1-n1c(nnc1-c1ccccc1)[C@H]1C[C@@H](C1)NC(=O)c1ccccn1,220,IC50
CC(C)c1ccc(cc1)C1NC(=O)c2ccccc2N1,230,IC50
Clc1cccc2CN(CCc12)C(=O)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,244,IC50
Cc1c(ccc2n(Cc3cccc(c3C#N)C(F)(F)F)c(=O)n(C[C@H]3CC[C@@H](CC3)C(=O)Nc3ccncc3)c(=O)c12)C(N)=O,251,IC50
COc1ccc(cc1)C(=O)Nc1ccc(C(=O)NCC2(CCOCC2)c2ccc(OC)cc2)c(Cl)c1,257,IC50
O=C1NC2(CCN(CC2)c2nc3CCCCc3c(=O)[nH]2)c2ccccc12,258,IC50
[O-][N+](=O)c1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,259,IC50
Oc1cccc2c1nc([nH]c2=O)-c1ccc(F)cc1,263,IC50
Fc1ccc2c(n[nH]c2c1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,270,IC50
COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccccc2)nnc1-c1ccncc1,272,IC50
Cc1nnc(SCc2nc(no2)-c2ccc(Cl)cc2)n1-c1ccc(F)cc1,281,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)C1CCCCC1,282,IC50
O=c1[nH]c(cc2c3ccccc3sc12)-c1ccccc1,283,IC50
CC(C)n1cc2CN(Cc2n1)C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,290,IC50
Cc1ccc(cc1)-c1nnc(CCc2nnc(-c3ccncc3)n2-c2ccccc2Cl)o1,290,IC50
Fc1ccccc1NC(=O)c1ccc(NC(=O)N2CCN(CC2)C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)cc1,296,IC50
CN1CCN(CC1)c1nc2CCCCc2c(=O)[nH]1,300,IC50
Oc1cccc(c1)-c1cc(=O)c2ccccc2o1,310,IC50
COc1ccc2c(n[nH]c2c1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,311,IC50
OC(=O)[C@H]1CC[C@H](Cn2c(=O)n(Cc3cccc(c3C#N)C(F)(F)F)c3cccc(F)c3c2=O)CC1,316,IC50
O=C(Nc1ccncc1)[C@H]1CC[C@H](Cn2c(=O)n(Cc3ccccc3C#N)c3[nH]cnc3c2=O)CC1,316,IC50
O=C(Nc1ccncc1)[C@H]1CC[C@H](Cn2c(=O)n(Cc3ccccc3C#N)c3cnccc3c2=O)CC1,316,IC50
C(CCC1CCCCC1)CNc1nnc2SCCn12,316,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](C1)Oc1ccccc1,318,IC50
O=C(OCc1ccccc1)N1CCN(CCSc2nc3ccccc3c(=O)[nH]2)CC1,318,IC50
COc1ccc2C(=O)CC(CC(=O)N3CCN(CC3)C(=O)c3ccccc3N3CCC(=O)NC3=O)c2c1,330,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)-c1ccc(cc1)-n1c2ccc(cc2[nH]c1=O)C#N,340,IC50
Cc1ccc(cc1)-c1cc2cnccc2c(=O)[nH]1,350,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)NCc2nc3CCCCCc3c(=O)[nH]2)CC1,353,IC50
CC(C)c1ccc(cc1)C1NC(=O)c2cccnc2N1,355,IC50
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(F)(F)F,367,IC50
COc1ccc(cc1)C(=O)C1CCN(CC(=O)N(CC2CC2)Cc2nc3CCCCCc3c(=O)[nH]2)CC1,371,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@H]1CCN(CC(=O)Nc2nnc3SCCn23)C1=O,374,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@@H]1CCN(CC(=O)Nc2nnc3SCCn23)C1=O,374,IC50
COc1ccc(cc1)-c1cnn(c1)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,386,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@@H]1CCN(Cc2cc3ccccc(=O)c3[nH]2)C1=O,390,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)[C@@H]1CCN(Cc2nc3ccccc(=O)c3[nH]2)C1=O,390,IC50
